latitude_bin,longitude_bin,hour,alert_count
41.980000,-87.800000,15:00,276
41.650000,-87.590000,19:00,276
41.750000,-87.630000,22:00,275
41.980000,-87.810000,17:00,275
41.870000,-87.720000,13:00,275
41.690000,-87.600000,08:00,275
41.830000,-87.690000,21:00,275
41.730000,-87.630000,23:00,275
41.880000,-87.630000,23:00,275
41.870000,-87.730000,16:00,275
41.840000,-87.660000,23:00,274
41.940000,-87.730000,15:00,274
41.910000,-87.680000,20:00,274
41.920000,-87.670000,23:00,274
41.980000,-87.800000,16:00,273
41.720000,-87.630000,23:00,273
41.870000,-87.670000,16:00,273
41.980000,-87.800000,00:00,272
41.980000,-87.750000,19:00,272
41.870000,-87.730000,23:00,272
41.870000,-87.700000,21:00,272
41.820000,-87.720000,23:00,272
41.880000,-87.670000,21:00,272
41.830000,-87.640000,08:00,272
41.870000,-87.670000,13:00,271
41.800000,-87.640000,16:00,271
41.870000,-87.760000,16:00,271
41.900000,-87.630000,17:00,271
41.980000,-87.790000,11:00,271
41.980000,-87.830000,23:00,271
41.980000,-87.810000,19:00,270
41.880000,-87.620000,18:00,270
41.900000,-87.650000,22:00,270
41.980000,-87.660000,00:00,270
41.870000,-87.710000,22:00,270
41.870000,-87.680000,14:00,270
41.910000,-87.680000,19:00,269
41.920000,-87.680000,17:00,269
41.990000,-87.770000,21:00,269
41.980000,-87.660000,17:00,268
41.880000,-87.630000,20:00,268
41.870000,-87.750000,15:00,268
41.790000,-87.640000,14:00,268
41.870000,-87.780000,13:00,268
41.980000,-87.800000,13:00,268
41.820000,-87.720000,14:00,267
41.650000,-87.590000,23:00,267
41.730000,-87.630000,17:00,267
41.870000,-87.680000,15:00,267
41.850000,-87.650000,01:00,266
41.870000,-87.730000,12:00,266
41.750000,-87.630000,17:00,265
41.870000,-87.630000,19:00,265
41.770000,-87.630000,23:00,264
41.870000,-87.700000,19:00,264
41.720000,-87.630000,21:00,264
41.810000,-87.640000,18:00,264
41.850000,-87.620000,20:00,264
41.690000,-87.600000,09:00,263
41.730000,-87.630000,14:00,263
41.870000,-87.640000,20:00,263
41.830000,-87.670000,20:00,263
41.870000,-87.650000,11:00,263
41.650000,-87.590000,20:00,263
41.870000,-87.740000,16:00,263
41.690000,-87.600000,06:00,262
41.730000,-87.630000,12:00,262
41.820000,-87.640000,16:00,262
41.850000,-87.620000,22:00,261
41.970000,-87.770000,11:00,260
41.840000,-87.650000,17:00,260
41.810000,-87.640000,13:00,260
41.770000,-87.630000,22:00,259
41.790000,-87.640000,17:00,259
41.870000,-87.690000,23:00,259
41.890000,-87.630000,23:00,259
41.870000,-87.780000,12:00,259
41.940000,-87.710000,21:00,258
41.710000,-87.640000,13:00,257
41.950000,-87.650000,21:00,257
41.870000,-87.670000,15:00,257
